ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Gene name syn)	Complex comment	Disease comment	SWISSPROT organism	Subunits comment	subunits(Gene name)	PubMed ID	subunits(Protein name)
921	Remodeling and spacing factor (RSF) complex	Human	None	None	O60264;Q96T23	8467;51773	MI:0091- chromatography technologies	GO:0009117;GO:0006265;GO:0006352;GO:0051276;GO:0005634	nucleotide metabolic process;DNA topological change;DNA-templated transcription, initiation;chromosome organization;nucleus	01.03;10.01.09.05;11.02.03.01.01;42.10.03;70.10	nucleotide/nucleoside/nucleobase metabolism;DNA conformation modification (e.g. chromatin);transcription initiation;organization of chromosome structure;nucleus	SNF2H, WCRF135;HBXAP XAP8	RSF facilitates transcription initiation by remodeling nucleosomes in the promoter region to allow the formation of preinitiation complexes.	None	Homo sapiens (Human);Homo sapiens (Human)	None	SMARCA5;RSF1	9836642	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Remodeling and spacing factor 1
923	SNF2L-RSF1 complex	Human	None	None	P28370;Q96T23	6594;51773	MI:0071- molecular sieving; MI:0007- anti tag coimmunoprecipitation	GO:0006265;GO:0051276;GO:0005634	DNA topological change;chromosome organization;nucleus	10.01.09.05;42.10.03;70.10	DNA conformation modification (e.g. chromatin);organization of chromosome structure;nucleus	SNF2L SNF2L1;HBXAP XAP8	None	None	Homo sapiens (Human);Homo sapiens (Human)	None	SMARCA1;RSF1	15640247	Probable global transcription activator SNF2L1 ;Remodeling and spacing factor 1
924	Toposome	Human	None	None	P07910;P11388;Q08211;Q08945;Q6P2Q9;Q96SB4;Q9NR30	3183;7153;1660;6749;10594;6732;9188	MI:0226- ion exchange chromatography; MI:0019- coimmunoprecipitation	GO:0051276;GO:0000278;GO:0051726;GO:0003677;GO:0005634	chromosome organization;mitotic cell cycle;regulation of cell cycle;DNA binding;nucleus	42.10.03;10.03.01.01;10.03.01;16.03.01;70.10	organization of chromosome structure;mitotic cell cycle;mitotic cell cycle and cell cycle control;DNA binding;nucleus	HNRPC;TOP2;DDX9 LKP NDH2;FACT80;PRPC8;;	During chromosome segregation, the toposome complex separates entangled circular chromatin DNA about fourfold more efficiently than topoisomerase IIalpha alone.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	HNRNPC;TOP2A;DHX9;SSRP1;PRPF8;SRPK1;DDX21	15034300	Heterogeneous nuclear ribonucleoproteins C1/C2;DNA topoisomerase 2-alpha;ATP-dependent RNA helicase A;FACT complex subunit SSRP1;Pre-mRNA-processing-splicing factor 8 ;SRSF protein kinase 1 ;Nucleolar RNA helicase 2
925	SNF2H-BAZ1A complex	Human	WCRF complex; WCRF/hACF complex	None	O60264;Q9NRL2	8467;11177	MI:0091-chromatography technologies	GO:0006265;GO:2001141;GO:0006355;GO:0051276;GO:0005634	DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;chromosome organization;nucleus	10.01.09.05;11.02.03.04;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcriptional control;organization of chromosome structure;nucleus	SNF2H, WCRF135;ACF1, WCRF180	ATPase activity of WCRF complex is stimulated by nucleososmal DNA.	None	Homo sapiens (Human);Homo sapiens (Human)	None	SMARCA5;BAZ1A	10655480	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Bromodomain adjacent to zinc finger domain protein 1A
926	SCRIB-LGL2 complex	Human	None	MDCK cells, HEK 293 cells	Q14160;Q6P1M3	23513;3993	MI:0276- blue native page; MI:0019- coimmunoprecipitation; MI:0029- cosedimentation through density gradients	GO:0051211;GO:0009798;GO:0005886;GO:0005737	anisotropic cell growth;axis specification;plasma membrane;cytoplasm	40.01.03;41.05.19;70.02;70.03	directional cell growth (morphogenesis);asymmetries and axis determination;eukaryotic plasma membrane / membrane attached;cytoplasm	CRIB1, KIAA0147, LAP4, SCRB1, VARTUL;	Analyses done to localize the association of the proteins showed that exogenously expressed Scrib and Lgl2 can interact in either location (at the membrane and in the cytosol).	None	Homo sapiens (Human);Homo sapiens (Human)	None	SCRIB;LLGL2	16791850	Protein scribble homolog;Lethal
927	CENP-A NAC complex	Human	CENP-A nucleosome associated complex	None	Q03188;Q71F23;Q96BT3;Q96H22;Q9H3R5;Q9NSP4	1060;79682;80152;55839;64946;79019	MI:0676-tandem affinity purification	None	None	None	None	CENPC1 ICEN7;ICEN24 KLIP1 MLF1IP PBIP1;C16orf56, ICEN22;C16orf60 ICEN32;ICEN35;C22orf18 ICEN39 PANE1	Assembly of CENP-A NAC complex at centromeres is dependent on CENP-M, CENP-N and CENP-T.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	CENPC;CENPU;CENPT;CENPN;CENPH;CENPM	16622419	Centromere protein C;Centromere protein U;Centromere protein T;Centromere protein N;Centromere protein H;Centromere protein M
928	SCRIB-VANGL2 complex	Human	None	epithelium	Q14160;Q9ULK5	23513;57216	MI:0007- anti tag coimmunoprecipitation;MI:0096- pull down	GO:0009798;GO:0005886	axis specification;plasma membrane	41.05.19;70.02	asymmetries and axis determination;eukaryotic plasma membrane / membrane attached	CRIB1, KIAA0147, LAP4, SCRB1, VARTUL;KIAA1215 STB1	When human EGFP-hVangl2  fusion proteins expressed in transfected MDCK cells were quantitatively immunoprecipitated with anti-GFP, a small (2%) but reproducible amount of total endo Scrib was found in the full-length hVangl2 immunoprecipitate. Further analyses done in HEK293A cell extracts.	None	Homo sapiens (Human);Homo sapiens (Human)	None	SCRIB;VANGL2	16791850	Protein scribble homolog;Vang-like protein 2
929	CEN complex	Human	centromer chromatin complex; interphase centromere complex; ICEN complex	HeLa cells	O60264;P07199;P11021;P11142;P22087;P35226;P49450;Q02241;Q03188;Q06587;Q08945;Q13185;Q13619;Q15007;Q16531;Q53SF7;Q5T200;Q69YN4;Q6T4P5;Q71F23;Q8N0S6;Q8N1F7;Q8NEM2;Q92620;Q92674;Q96JP5;Q96T23;Q99496;Q9BS16;Q9BU64;Q9BXP5;Q9BZH6;Q9H0H5;Q9H3R5;Q9HC52;Q9NSP4;Q9Y5B9	8467;1059;3309;3312;2091;648;1058;9493;1060;6015;6749;11335;8451;9589;1642;22837;23091;25962;79948;79682;91687;9688;79801;9785;2491;80829;51773;6045;64105;79172;51593;55717;29127;64946;57332;79019;11198	MI:0402-chromatin immunoprecipitation assays;MI:0006-anti bait coimmunoprecipitation	GO:0000278;GO:0051382;GO:0051225;GO:0007098;GO:0005694	mitotic cell cycle;kinetochore assembly;spindle assembly;centrosome cycle;chromosome	10.03.01.01;10.03.04.01;10.03.05.01;70.10.03	mitotic cell cycle;centromere/kinetochore complex maturation;spindle pole body/centrosome and microtubule cycle;chromosome	SNF2H, WCRF135;None;GRP78;HSC70, HSP73, HSPA10;FIB1 FLRN;PCGF4 RNF51;None;KNSL5 MKLP1;CENPC1 ICEN7;RNF1;FACT80;None;None;KIAA0105;XAP1;KIAA0977;KIAA0853;None;LPPR3 PHP2 PRG2;ICEN24 KLIP1 MLF1IP PBIP1;C1orf155 ICEN33;KIAA0095;None;DDX38 KIAA0224 PRP16;FSHPRH1 ICEN19 LRPR1;ZNF757;HBXAP XAP8;BAP1 DING HIPI3 RING1B;ICEN37;ICEN36 MCM21R;ARS2 ASR2;BRWD2 KIAA1351 WDR15;KIAA1478 MGCRACGAP;ICEN35;PC3 RC1;C22orf18 ICEN39 PANE1;FACT140 FACTP140	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Two other subunits of the complex were found in the analysis, which have not been further characterized: unknown protein (40kD) and a protein similar to Riken cDNA 2610510J17.	SMARCA5;CENPB;HSPA5;HSPA8;FBL;BMI1;CENPA;KIF23;CENPC;RING1;SSRP1;CBX3;CUL4A;WTAP;DDB1;COBLL1;ZC3H13;KIAA1429;PLPPR3;CENPU;CENPL;NUP93;SHCBP1;DHX38;CENPI;ZFP91;RSF1;RNF2;CENPK;CENPO;SRRT;WDR11;RACGAP1;CENPH;CBX8;CENPM;SUPT16H	15009096	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Major centromere autoantigen B;78 kDa glucose-regulated protein;Heat shock cognate 71 kDa protein;rRNA 2'-O-methyltransferase fibrillarin;Polycomb complex protein BMI-1;Histone H3-like centromeric protein A;Kinesin-like protein KIF23;Centromere protein C;E3 ubiquitin-protein ligase RING1;FACT complex subunit SSRP1;Chromobox protein homolog 3;Cullin-4A;Pre-mRNA-splicing regulator WTAP;DNA damage-binding protein 1;Cordon-bleu protein-like 1;Zinc finger CCCH domain-containing protein 13;Protein virilizer homolog;Phospholipid phosphatase-related protein type 3;Centromere protein U;Centromere protein L;Nuclear pore complex protein Nup93;SHC SH2 domain-binding protein 1;Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16;Centromere protein I;E3 ubiquitin-protein ligase ZFP91;Remodeling and spacing factor 1;E3 ubiquitin-protein ligase RING2;Centromere protein K;Centromere protein O;Serrate RNA effector molecule homolog;WD repeat-containing protein 11;Rac GTPase-activating protein 1;Centromere protein H;Chromobox protein homolog 8;Centromere protein M;FACT complex subunit SPT16
930	SCRIB-GIT1-ARHGEF7 complex	Human	None	nontransformed mammary epithelial MCF10-2A cells	Q14155;Q14160;Q9Y2X7	8874;23513;28964	MI:0006-anti bait coimmunoprecipitation;MI:0069-mass spectrometry studies of complexes;MI:0096-pull down	GO:0006887;GO:0005886;GO:0007268;GO:0045197	exocytosis;plasma membrane;synaptic transmission;establishment or maintenance of epithelial cell apical/basal polarity	20.09.16.09.03;70.02;34.03.01	exocytosis;eukaryotic plasma membrane / membrane attached;synaptic transmission	COOL1, KIAA0142, P85SPR, PAK3BP, PIXB;CRIB1, KIAA0147, LAP4, SCRB1, VARTUL;None	Yeast two-hybrid analysis showed that beta-PIX directly interacts with hScrib and hScrib PDZ domains. GIT1 had no affinity for Scrib but, as expected, directly bound to beta-PIX. The data highlight the important role of hScrib in the retention of beta-PIX at the plasma membrane upon membrane depolarization.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	ARHGEF7;SCRIB;GIT1	15182672	Rho guanine nucleotide exchange factor 7;Protein scribble homolog;ARF GTPase-activating protein GIT1
931	Scrib-Git1-Arhgef7 complex	Mouse	None	brain	Q68FF6;Q80U72;Q9ES28	216963;105782;54126	MI:0006-anti bait coimmunoprecipitation;MI:0096-pull down	GO:0006887;GO:0005886;GO:0007268	exocytosis;plasma membrane;synaptic transmission	20.09.16.09.03;70.02;34.03.01	exocytosis;eukaryotic plasma membrane / membrane attached;synaptic transmission	None;Kiaa0147 Lap4 Scrib1;Kiaa0142, Pak3bp, PIX, betaPix	None	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Git1;Scrib;Arhgef7	15182672	ARF GTPase-activating protein GIT1;Protein scribble homolog;Rho guanine nucleotide exchange factor 7
932	Ppar(alpha)-Pric320 complex	Rat	None	None	P37230;Q8BYH8	25747;109151	MI:0019- coimmunoprecipitation	GO:0045893;GO:0005634	positive regulation of transcription, DNA-templated;nucleus	11.02.03.04.01;70.10	transcription activation;nucleus	Nr1c1 Ppar;Kiaa0308 Pric320	None	None	Rattus norvegicus (Rat);Mus musculus (Mouse)	Since Pric320 from rat was not available in the UniProt database at the time of annotation, the orthologous protein from mouse was used.	Ppara;Chd9	16554032	Peroxisome proliferator-activated receptor alpha ;Chromodomain-helicase-DNA-binding protein 9
933	SCRIB-APC complex	Human	None	None	P25054;Q14160	324;23513	MI:0096- pull down;MI:0006- anti bait coimmunoprecipitation	GO:0051211;GO:0009798;GO:0007043;GO:0030182;GO:0030855;GO:0002009;GO:0007416	anisotropic cell growth;axis specification;cell-cell junction assembly;neuron differentiation;epithelial cell differentiation;morphogenesis of an epithelium;synapse assembly	40.01.03;41.05.19;42.06.04;43.03.13;45.03.09;41.05.13.01	directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);neuron;epithelium;synaptogenesis	DP2.5;CRIB1, KIAA0147, LAP4, SCRB1, VARTUL	The in vitro translated APC bound to the PDZ domains 1 and 4 of hScrib. Mutational analysis provided the evidence that APC interacts with hScrib through its C terminal class 1 PDZ domain-binding sequence Threonine-X-Valine, which is shared by the C terminal sequences of the high-risk HPV E6 proteins.	None	Homo sapiens (Human);Homo sapiens (Human)	None	APC;SCRIB	16611247	Adenomatous polyposis coli protein;Protein scribble homolog
934	FACT-NEK9 complex	Human	None	None	Q08945;Q8TD19;Q9Y5B9	6749;91754;11198	MI:0006-anti bait coimmunoprecipitation	GO:0006265;GO:0000082;GO:0006354;GO:0006468;GO:0051276;GO:0005634	DNA topological change;G1/S transition of mitotic cell cycle;DNA-templated transcription, elongation;protein phosphorylation;chromosome organization;nucleus	10.01.09.05;10.03.01.01.03;11.02.03.01.04;14.07.03;42.10.03;70.10	DNA conformation modification (e.g. chromatin);G1/S transition of mitotic cell cycle;transcription elongation;modification by phosphorylation, dephosphorylation, autophosphorylation;organization of chromosome structure;nucleus	FACT80;KIAA1995 NERCC;FACT140 FACTP140	Nek9 forms a stable, approximately 600-kDa complex with FACT in the interphase nuclei.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	SSRP1;NEK9;SUPT16H	14660563	FACT complex subunit SSRP1;Serine/threonine-protein kinase Nek9;FACT complex subunit SPT16
935	Scrib-APC-beta-catenin complex	Mouse	None	brain	Q02248;Q61315;Q80U72	12387;11789;105782	MI:0006- anti bait coimmunoprecipitation	GO:0051211;GO:0009798;GO:0007043;GO:0030182;GO:0030855;GO:0002009;GO:0007416	anisotropic cell growth;axis specification;cell-cell junction assembly;neuron differentiation;epithelial cell differentiation;morphogenesis of an epithelium;synapse assembly	40.01.03;41.05.19;42.06.04;43.03.13;45.03.09;41.05.13.01	directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);neuron;epithelium;synaptogenesis	Catnb;;Kiaa0147 Lap4 Scrib1	None	None	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	Ctnnb1;Apc;Scrib	16611247	Catenin beta-1;Adenomatous polyposis coli protein ;Protein scribble homolog
936	FACT complex	Human	None	None	Q08945;Q9Y5B9	6749;11198	MI:0006- anti bait coimmunoprecipitation	GO:0006265;GO:0006354;GO:0051276;GO:0005634	DNA topological change;DNA-templated transcription, elongation;chromosome organization;nucleus	10.01.09.05;11.02.03.01.04;42.10.03;70.10	DNA conformation modification (e.g. chromatin);transcription elongation;organization of chromosome structure;nucleus	FACT80;FACT140 FACTP140	FACT (for facilitates chromatin transcription) is a chromatin-specific elongation factor required for transcription of chromatin templates in vitro.	None	Homo sapiens (Human);Homo sapiens (Human)	None	SSRP1;SUPT16H	10421373	FACT complex subunit SSRP1;FACT complex subunit SPT16
938	FACT complex, UV-activated	Human	p53 Ser-392 kinase complex	None	P19784;P67870;P68400;Q08945;Q9Y5B9	1459;1460;1457;6749;11198	MI:0071-molecular sieving	GO:0006468;GO:0006974;GO:0009314;GO:0005634	protein phosphorylation;cellular response to DNA damage stimulus;response to radiation;nucleus	14.07.03;32.01.09;32.01.13;70.10	modification by phosphorylation, dephosphorylation, autophosphorylation;DNA damage response;electromagnetic waves stress response (e.g. UV, X-ray);nucleus	CK2A2;CK2N G5A;CK2A1;FACT80;FACT140 FACTP140	In vitro studies show that FACT alters the specificity of CK2 in the complex such that it selectively phosphorylates p53. Phosphorylation by the kinase complex enhances p53 activity.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	CSNK2A2;CSNK2B;CSNK2A1;SSRP1;SUPT16H	11239457	Casein kinase II subunit alpha';Casein kinase II subunit beta;Casein kinase II subunit alpha;FACT complex subunit SSRP1;FACT complex subunit SPT16
939	Dysferlin-Dhpr complex	Rat	None	striated muscle	D4A6X1;Q02485	312492;682930	MI:0019-coimmunoprecipitation	GO:0005515	protein binding	16.01	protein binding	Dysf_predicted,rCG_56240;Cach1 Cacn1 Cacnl1a3 Cchl1a3	None	Dysf is involved in Miyoshi myopathy and limb-girdle muscular dystrophy 2B.	Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Dysf;Cacna1s	16550931	Dysferlin (Predicted), isoform CRA_a;Voltage-dependent L-type calcium channel subunit alpha-1S
940	AnnexinVI-Fyn-Pyk2-RasGAP complex	Rat	None	None	P48037;P50904;P70600;Q62844	79125;25676;50646;25150	MI:0019- coimmunoprecipitation	GO:0005515;GO:0035556	protein binding;intracellular signal transduction	16.01;30.01	protein binding;cellular signalling	Anx6;Rasa;Fak2 Pyk2;None	None	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat);Rattus norvegicus (Rat)	None	Anxa6;Rasa1;Ptk2b;Fyn	10708762	Annexin A6;Ras GTPase-activating protein 1 ;Protein-tyrosine kinase 2-beta ;Tyrosine-protein kinase Fyn
